,sentence,label
0,请回放CCTV2的消费主张,中性
1,给我打开玩具房的灯,中性
2,我真的不开心！,消极
3,你太棒了，周五带你去海洋馆玩,积极
4,今天的天气阴沉沉的，让人感觉很压抑。,消极
5,我觉得今天早上起床的时候就已经开始倒霉了。,消极
6,这个任务太过繁琐，我觉得自己完全应付不了。,消极
7,这次考试真是让人崩溃，题目都是我完全没准备过的。,消极
8,这个城市的交通太糟糕了，每天都要被堵在路上。,消极
9,我的电脑突然坏了，我简直不知道该怎么办才好。,消极
10,这个新同事总是自以为是，让整个团队都感到很不舒服。,消极
11,我觉得自己的生活好像陷入了一种无尽的循环，毫无意义可言。,消极
12,今天的工作量太大了，我根本无法在规定时间内完成。,消极
13,这个项目的进展太慢了，我觉得我们永远也完成不了。,消极
14,我感觉自己的健康状况越来越差，简直就是一场噩梦。,消极
15,我的钱包被偷了，里面的所有东西都没了，真是倒了大霉。,消极
16,我和朋友之间的关系出了一些问题，让我感到很痛苦。,消极
17,这个城市的环境真的很糟糕，污染严重，让人感到窒息。,消极
18,我的老板总是对我挑剔，让我觉得自己毫无价值。,消极
19,我的手机坏了，所有的联系方式都丢失了，真是糟糕透了。,消极
20,我觉得自己的生活一团糟，根本找不到出路。,消极
21,我的宠物生病了，兽医说情况很严重，我简直不知所措。,消极
22,我的朋友突然对我冷淡起来，让我感到很失落。,消极
23,我感觉自己的工作没有任何意义，每天都过得毫无生气。,消极
24,我觉得自己被社会抛弃了，无法找到任何支持和帮助。,消极
25,我在家里发现了一只老鼠，简直吓得我魂飞魄散。,消极
26,我在网上被骗了，损失了一大笔钱，真是倒了大霉。,消极
27,我的房东要涨房租，我根本支付不起，真是太糟糕了。,消极
28,我的健康状况让我感到很担忧，我担心自己可能患上了严重的疾病。,消极
29,我和伴侣之间的关系出了问题，我觉得我们可能会分手。,消极
30,我刚刚丢掉了一份重要的文件，简直让我后悔死了。,消极
31,我觉得自己的生活毫无方向，完全不知道该往哪里走。,消极
32,我觉得自己的才华被浪费了，无法发挥出真正的价值。,消极
33,我觉得自己的身体越来越差，简直就像是个行尸走肉。,消极
34,我觉得自己的家庭关系十分紧张，每天都充满了争吵和矛盾。,消极
35,我感觉自己的朋友都在背后议论我，让我感到很孤独。,消极
36,我觉得自己的人生一片黑暗，看不到任何希望和出路。,消极
37,我觉得自己的工作毫无挑战性，简直就是在浪费时间。,消极
38,我觉得自己的经济状况越来越糟糕，简直就是一场灾难。,消极
39,我觉得自己的社交生活越来越无聊，简直就像是在虚度光阴。,消极
40,我觉得自己的学业进展缓慢，无法达到自己的期望。,消极
41,我觉得自己的环境越来越拥挤，简直就像是个笼子。,消极
42,我觉得自己的情感世界一片混乱，无法找到任何方向。,消极
43,我觉得自己的生活一团糟，简直就像是个噩梦。,消极
44,我觉得自己的心情越来越低落，无法找到任何乐趣。,消极
45,我觉得自己的身心健康都在逐渐恶化，简直就像是个废人。,消极
46,我觉得自己的家庭关系越来越紧张，简直就像是在火山口上生活。,消极
47,"我觉得自己的精神状态越来越糟糕，",消极
48,今天的阳光真温暖，让人心情愉悦。,积极
49,每天都是一个新的开始，充满了无限可能。,积极
50,坚持努力，成功就在眼前。,积极
51,爱是世界上最美好的力量。,积极
52,乐观的态度能帮助我们克服困难。,积极
53,健康是人生最宝贵的财富。,积极
54,朋友是生活中的阳光，给我们带来温暖和快乐。,积极
55,不断学习，不断进步，让生活更美好。,积极
56,乐于助人，让世界充满爱。,积极
57,珍惜当下，享受生活中的每一刻。,积极
58,信念是我们前进的动力。,积极
59,勇敢面对挑战，我们的人生将更加精彩。,积极
60,感恩的心让我们更加快乐。,积极
61,做一个有责任心的人，让社会更美好。,积极
62,爱护环境，保护地球家园。,积极
63,保持微笑，让生活充满阳光。,积极
64,诚信是做人的根本。,积极
65,坚持梦想，我们一定能实现。,积极
66,不断挑战自我，让人生更加精彩。,积极
67,乐观的心态能帮助我们克服一切困难。,积极
68,健康的生活方式让我们更快乐。,积极
69,朋友的支持是我们前进的动力。,积极
70,不断学习，让我们的生活更丰富多彩。,积极
71,乐于助人，让我们的世界更美好。,积极
72,珍惜每一份友谊，让生活充满温暖。,积极
73,信念让我们勇往直前。,积极
74,勇敢面对挑战，让人生更加精彩。,积极
75,感恩的心让我们更加懂得珍惜。,积极
76,做一个有责任心的人，让社会更加和谐。,积极
77,爱护环境，让地球更加美丽。,积极
78,保持微笑，让生活充满阳光。,积极
79,诚信让我们赢得他人的尊重。,积极
80,坚持梦想，让我们的人生更加有意义。,积极
81,不断挑战自我，让我们不断成长。,积极
82,乐观的心态能帮助我们战胜一切困难。,积极
83,健康的生活方式让我们更加快乐。,积极
84,朋友的支持让我们更加坚定。,积极
85,不断学习，让我们的生活更加充实。,积极
86,乐于助人，让我们的世界更加美好。,积极
87,珍惜每一份友谊，让生活充满温暖。,积极
88,信念让我们勇往直前。,积极
89,勇敢面对挑战，让人生更加精彩。,积极
90,感恩的心让我们更加懂得珍惜。,积极
91,做一个有责任心的人，让社会更加和谐。,积极
92,爱护环境，让地球更加美丽。,积极
93,保持微笑，让生活充满阳光。,积极
94,诚信让我们赢得他人的尊重。,积极
95,坚持梦想，让我们的人生更加有意义。,积极
96,不断挑战自我，让我们不断成长。,积极
97,乐观的心态能帮助我们战胜一切困难。,积极
98,健康的生活方式让我们更加快乐。,积极
99,朋友的支持让我们更加坚定。,积极
100,不断学习，让我们的生活更加充实。,积极
101,乐于助人，让我们的世界更加美好。,积极
102,珍惜每一份友谊，让生活充满温暖。,积极
103,信念让我们勇往直前。,积极
104,勇敢面对挑战，让人生更加精彩。,积极
105,感恩的心让我们更加懂得珍惜。,积极
106,做一个有责任心的人，让社会更加和谐。,积极
107,爱护环境，让地球更加美丽。,积极
108,保持微笑，让生活充满阳光。,积极
109,诚信让我们赢得他人的尊重。,积极
110,坚持梦想，让我们的人生更加有意义。,积极
111,不断挑战自我，让我们不断成长。,积极
112,乐观的心态能帮助我们战胜一切困难。,积极
113,健康的生活方式让我们更加快乐。,积极
114,朋友的支持让我们更加坚定。,积极
115,不断学习，让我们的生活更加充实。,积极
116,乐于助人，让我们的世界更加美好。,积极
117,珍惜每一份友谊，让生活充满温暖。,积极
118,信念让我们勇往直前。,积极
119,勇敢面对挑战，让人生更加精彩。,积极
120,感恩的心让我们更加懂得珍惜。,积极
121,做一个有责任心的人，让社会更加和谐。,积极
122,爱护环境，让地球更加美丽。,积极
123,保持微笑，让生活充满阳光。,积极
124,诚信让我们赢得他人的尊重。,积极
125,坚持梦想，让我们的人生更加有意义。,积极
126,不断挑战自我，让我们不断成长。,积极
127,乐观的心态能帮助我们战胜一切困难。,积极
128,健康的生活方式让我们更加快乐。,积极
129,朋友的支持让我们更加坚定。,积极
130,不断学习，让我们的生活更加充实。,积极
131,乐于助人，让我们的世界更加美好。,积极
132,珍惜每一份友谊，让生活充满温暖。,积极
133,信念让我们勇往直前。,积极
134,勇敢面对挑战,积极
135,今天的阳光明媚，让我感到无比的愉悦和活力！,积极
136,我刚完成了一本很有启发性的书籍，感觉心情格外美好。,积极
137,听到你取得成功的消息，我感到由衷的高兴和鼓舞！,积极
138,我正在面对挑战，但我相信我有足够的能力去克服它们。,积极
139,今天的工作进展顺利，让我充满了动力和信心！,积极
140,我遇到了一则非常有趣的笑话，让我忍俊不禁，心情愉悦！,积极
141,收到你的来信，让我感到十分惊喜和期待，期待我们的未来合作！,积极
142,这个问题虽然有挑战性，但我相信我有足够的智慧和能力去解决它。,积极
143,看到你的辛勤工作得到认可，我为你感到无比的自豪和高兴！,积极
144,虽然项目进展较慢，但我相信我们会克服困难，取得成功！,积极
145,今天的困难只是暂时的，我有足够的勇气和智慧去面对它们！,积极
146,我知道自己的健康状况会越来越好，因为我正在努力保持健康的生活方式！,积极
147,虽然遇到了困难，但我相信我有足够的韧性和坚强去应对挑战！,积极
148,即使有些挫折，但我依然对未来充满信心，因为我知道自己有能力战胜一切困难！,积极
149,我相信每一次挑战都是一次成长的机会，我会从中学到更多，变得更加强大！,积极
150,我的未来充满了希望和机遇，我相信自己能够创造出美好的明天！,积极
151,我对自己的能力充满信心，我知道自己能够实现任何目标，无论多么艰巨！,积极
152,每一次挑战都是一次成长的历程，我相信自己会变得更加坚强和成熟！,积极
153,我对自己的未来充满信心，因为我知道自己有足够的才华和能力去实现梦想！,积极
154,即使遇到困难，我依然对生活充满热爱和希望，因为我知道困难只是暂时的！,积极
155,我相信每一次失败都是一次学习的机会，我会从中吸取经验，变得更加优秀！,积极
156,我的生活充满了美好的可能性，我相信自己能够创造出属于自己的精彩！,积极
157,我知道自己的未来会更加美好，因为我拥有足够的勇气和决心去追求梦想！,积极
158,即使路途艰辛，但我相信自己能够坚持走下去，因为我知道成功就在前方！,积极
159,我对未来充满信心，因为我知道自己有足够的智慧和勇气去应对挑战！,积极
160,每一次挑战都是一次历练，我会从中汲取力量，变得更加坚强和勇敢！,积极
161,即使遇到挫折，我依然对自己充满信心，因为我知道自己有能力战胜一切困难！,积极
162,我相信自己的未来会更加美好，因为我正在努力奋斗，追求自己的梦想！,积极
163,即使前路漫长，但我依然对未来充满信心，因为我知道自己有足够的勇气和毅力！,积极
164,我对未来充满信心，因为我知道自己有足够的智慧和能力去创造属于自己的幸福！,积极
165,即使面对困难，我依然对未来充满信心，因为我知道自己有足够的勇气和决心！,积极
166,我知道自己的未来会更加美好，因为我正在努力奋斗，追逐属于自己的梦想！,积极
167,每一次挑战都是一次机会，我会从中学到更多，变得更加成熟和坚强！,积极
168,即使遇到困难，我依然对未来充满信心，因为我知道自己有足够的智慧和勇气！,积极
169,我相信自己的未来会更加美好，因为我知道自己有足够的才华和能力去创造幸福！,积极
170,即使遇到挑战，我依然对未来充满信心，因为我知道自己有足够的勇气和决心！,积极
171,每一次失败都是一次成长的机会，我会从中吸取经验，变得更加优秀和坚强！,积极
172,我知道自己的未来会更加美好，因为我正在努力追逐梦想，创造属于自己的幸福！,积极
173,即使前路艰辛，我依然对未来充满信心，因为我知道自己有足够的智慧和勇气！,积极
174,我相信每一次挑战都是一次历练，我会从中汲取力量，变得更加成熟和自信！,积极
175,即使面对挫折，我依然对未来充满信心，因为我知道自己有足够的勇气和毅力！,积极
176,我知道自己的未来会更加美好，因为我正在努力追逐梦想，创造属于自己的幸福！,积极
177,每一次挑战都是一次机会，我会从中学到更多，变得更加成熟和自信！,积极
178,即使遇到困难，我依然对未来充满信心，因为我知道自己有足够的智慧和勇气！,积极
179,我相信自己的未来会更加美好，因为我知道自己有足够的才华和能力去创造幸福！,积极
180,即使面对挑战，我依然对未来充满信心，因为我知道自己有足够的勇气和决心！,积极
181,每一次失败都是一次成长的机会，我会从中吸取经验，变得更加优秀和坚强！,积极
182,我知道自己的未来会更加美好，因为我正在努力追逐梦想，创造属于自己的幸福！,积极
183,即使前路艰辛，我依然对未来充满信心，因为我知道自己有足够的智慧和勇气！,积极
184,我相信每一次挑战都是一次历练，我会从中汲取力量，变得更加成熟和自信！,积极
185,今天的天气又阴沉又冷，让我觉得无法忍受。,消极
186,我感觉自己的心情越来越沮丧，简直就像是陷入了泥沼。,消极
187,这个项目的失败让我感到十分沮丧，觉得自己一事无成。,消极
188,我的社交圈子越来越小，感觉自己越来越孤独。,消极
189,我觉得自己的生活一团糟，简直就像是一场噩梦再现。,消极
190,每天都过着枯燥乏味的生活，简直让我感到绝望。,消极
191,我感觉自己的身体已经到了极限，简直无法承受更多的压力。,消极
192,我觉得自己的努力毫无意义，一切都是徒劳的。,消极
193,我的家庭关系越来越糟糕，让我感到十分沮丧。,消极
194,我觉得自己的人生充满了挫折和失败，简直无法忍受。,消极
