人才啊,其他,m,48,468,800,Thu Jun 26 23:36:22 +0800 2025,1岁工作22岁退休喜提69万退休金
太荒唐了,河北 秦皇岛,f,128,102,60,Fri Jun 27 20:56:28 +0800 2025,1岁工作22岁退休喜提69万退休金
太正常了 我听说过好多毕业就领退休金的,广东 广州,f,307,202,202,Wed Jul 16 09:56:00 +0800 2025,1岁工作22岁退休喜提69万退休金
县城婆罗门,山东,m,163,158,59,Wed Jul 16 09:57:39 +0800 2025,1岁工作22岁退休喜提69万退休金
有这种工作要学会分享啊我好为后代准备,江苏 苏州,f,10688,505,10190,Wed Jul 16 09:57:10 +0800 2025,1岁工作22岁退休喜提69万退休金
我才交了五年社保就觉得好累,其他,m,106,317,504,Wed Jul 16 09:57:50 +0800 2025,1岁工作22岁退休喜提69万退休金
2.83万人违规领取了5.19亿，还有400亿呢,其他,m,84,421,1675,Wed Jul 16 10:00:05 +0800 2025,1岁工作22岁退休喜提69万退休金
县城婆罗门很正常,河南 郑州,m,39,1539,251,Wed Jul 16 09:58:38 +0800 2025,1岁工作22岁退休喜提69万退休金
……不是说都不够发,河北 承德,f,52,300,157,Wed Jul 16 09:58:26 +0800 2025,1岁工作22岁退休喜提69万退休金
呵呵呵,安徽 合肥,m,170,180,27,Fri Jun 27 08:24:00 +0800 2025,1岁工作22岁退休喜提69万退休金
呵呵,其他,f,105,871,5681,Wed Jul 16 10:12:47 +0800 2025,1岁工作22岁退休喜提69万退休金
要他们还回来,浙江 绍兴,f,5,254,133,Wed Jul 16 10:11:59 +0800 2025,1岁工作22岁退休喜提69万退休金
一定要追回我们的钱。,北京 朝阳区,f,205,522,2629,Wed Jul 16 10:09:06 +0800 2025,1岁工作22岁退休喜提69万退休金
离谱,江苏 苏州,f,160,229,10289,Wed Jul 16 10:12:12 +0800 2025,1岁工作22岁退休喜提69万退休金
能每个地方都查吗？我相信每个不透明的小地方都有！,上海,f,3,167,387,Wed Jul 16 10:09:50 +0800 2025,1岁工作22岁退休喜提69万退休金
哦#山西蒲县疾控一职工1岁工作22岁退休#,湖北,f,291,2658,11890,Wed Jul 16 10:08:26 +0800 2025,1岁工作22岁退休喜提69万退休金
哎呀我去，天方夜谭这不就来了,河南 郑州,m,617,426,2513,Wed Jul 16 09:58:47 +0800 2025,1岁工作22岁退休喜提69万退休金
养老金就是这么没了的,海南,f,74,155,383,Wed Jul 16 09:59:36 +0800 2025,1岁工作22岁退休喜提69万退休金
山西啊，那很正常了，有本事接着查,其他,m,42,39,501,Wed Jul 16 10:09:31 +0800 2025,1岁工作22岁退休喜提69万退休金
这个影响xx吗,辽宁 锦州,m,38,138,67,Wed Jul 16 10:12:43 +0800 2025,1岁工作22岁退休喜提69万退休金
今天又上热点了-7/16,其他,m,45,245,16,Wed Jul 16 10:12:41 +0800 2025,1岁工作22岁退休喜提69万退休金
…,浙江 杭州,m,152,429,3036,Wed Jul 16 10:12:37 +0800 2025,1岁工作22岁退休喜提69万退休金
转发微博,北京 海淀区,f,477,1936,5884,Wed Jul 16 10:11:55 +0800 2025,1岁工作22岁退休喜提69万退休金
真天龙人,其他,m,11,18,12,Wed Jul 16 10:11:54 +0800 2025,1岁工作22岁退休喜提69万退休金
太扯了吧,四川 南充,f,332,820,748,Wed Jul 16 10:11:48 +0800 2025,1岁工作22岁退休喜提69万退休金
转发微博,上海 卢湾区,f,197,99,6121,Wed Jul 16 10:11:46 +0800 2025,1岁工作22岁退休喜提69万退休金
转移支付就是用在这种地方,其他,m,35,24,182,Wed Jul 16 10:11:41 +0800 2025,1岁工作22岁退休喜提69万退休金
疾控事业编年年找,其他,f,1,101,571,Wed Jul 16 10:11:30 +0800 2025,1岁工作22岁退休喜提69万退休金
流的汗绝对比我🩸还红,其他,m,3,24,48,Wed Jul 16 10:11:18 +0800 2025,1岁工作22岁退休喜提69万退休金
我真的不指望自己能领到退休金了。,其他,f,0,125,118,Wed Jul 16 10:10:49 +0800 2025,1岁工作22岁退休喜提69万退休金
这世界真是颠了,其他,f,3,41,2073,Wed Jul 16 10:10:37 +0800 2025,1岁工作22岁退休喜提69万退休金
这套路马斯克熟,辽宁 大连,m,32,311,951,Wed Jul 16 10:10:35 +0800 2025,1岁工作22岁退休喜提69万退休金
跟美国的社保漏洞一样，居然有300岁的人领养老金,其他,m,27,1214,2863,Wed Jul 16 10:10:28 +0800 2025,1岁工作22岁退休喜提69万退休金
铁饭碗真好,其他,f,43,36,195,Wed Jul 16 10:10:15 +0800 2025,1岁工作22岁退休喜提69万退休金
硕鼠硕鼠，无食我黍,其他,m,198,144,1240,Wed Jul 16 10:10:12 +0800 2025,1岁工作22岁退休喜提69万退休金
还笑对面200岁的,江苏 盐城,m,50,135,39,Wed Jul 16 10:09:40 +0800 2025,1岁工作22岁退休喜提69万退休金
如果你觉得太累了，是因为有人替你享受,浙江 杭州,m,556,464,753,Wed Jul 16 10:09:23 +0800 2025,1岁工作22岁退休喜提69万退休金
这种黑幕都不知道还有多少没被爆出来的,重庆,f,118,1668,418,Wed Jul 16 10:09:21 +0800 2025,1岁工作22岁退休喜提69万退休金
这人不抓起来么,北京 西城区,m,56,261,314,Wed Jul 16 10:08:45 +0800 2025,1岁工作22岁退休喜提69万退休金
“为打工而生”,广东 深圳,f,12,33,89,Wed Jul 16 10:08:43 +0800 2025,1岁工作22岁退休喜提69万退休金
很山西,其他,f,137,445,2496,Wed Jul 16 10:08:24 +0800 2025,1岁工作22岁退休喜提69万退休金
正常,福建 泉州,f,49,42,0,Wed Jul 16 10:08:22 +0800 2025,1岁工作22岁退休喜提69万退休金
@Dodogo_o,四川 成都,f,381,137,0,Wed Jul 16 10:05:44 +0800 2025,1岁工作22岁退休喜提69万退休金
6,海外 拉脱维亚,f,39,259,1221,Wed Jul 16 10:04:04 +0800 2025,1岁工作22岁退休喜提69万退休金
@鸽子潮,湖南,m,471,316,877,Wed Jul 16 10:02:35 +0800 2025,1岁工作22岁退休喜提69万退休金
呵呵,云南,m,566,5373,23564,Wed Jul 16 10:01:37 +0800 2025,1岁工作22岁退休喜提69万退休金
好离谱,山西,f,27,447,138,Wed Jul 16 10:00:52 +0800 2025,1岁工作22岁退休喜提69万退休金
66666好算盘,广东,f,4,1004,1410,Wed Jul 16 10:00:04 +0800 2025,1岁工作22岁退休喜提69万退休金
不止这一个吧？,上海 金山区,f,78,72,68,Wed Jul 16 09:59:56 +0800 2025,1岁工作22岁退休喜提69万退休金
真敢呀？,河南,f,248,1130,11178,Wed Jul 16 09:59:38 +0800 2025,1岁工作22岁退休喜提69万退休金
又是我们,山西 太原,m,221,705,506,Wed Jul 16 09:59:27 +0800 2025,1岁工作22岁退休喜提69万退休金
一个县都敢这样，可想而知,江苏,m,139,116,1294,Wed Jul 16 09:59:25 +0800 2025,1岁工作22岁退休喜提69万退休金
怎么敢的！,四川 成都,m,301,543,1764,Wed Jul 16 09:59:12 +0800 2025,1岁工作22岁退休喜提69万退休金
也没什么处罚,安徽 淮南,m,123,401,4170,Wed Jul 16 09:59:10 +0800 2025,1岁工作22岁退休喜提69万退休金
