评论内容,地区,性别,粉丝数,关注数,用户发布微博数,评论时间,评论所属热搜,lstm_result,lstm_score
太荒唐了,河北,女,128,102,60,2025-06-27 20:56:28+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7599999904632568
太正常了 我听说过好多毕业就领退休金的,广东,女,307,202,202,2025-07-16 09:56:00+08:00,1岁工作22岁退休喜提69万退休金,中性,0.75
县城婆罗门,山东,男,163,158,59,2025-07-16 09:57:39+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6200000047683716
有这种工作要学会分享啊我好为后代准备,江苏,女,10688,505,10190,2025-07-16 09:57:10+08:00,1岁工作22岁退休喜提69万退休金,消极,0.7300000190734863
县城婆罗门很正常,河南,男,39,1539,251,2025-07-16 09:58:38+08:00,1岁工作22岁退休喜提69万退休金,中性,0.6800000071525574
……不是说都不够发,河北,女,52,300,157,2025-07-16 09:58:26+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7400000095367432
呵呵呵,安徽,男,170,180,27,2025-06-27 08:24:00+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3400000035762787
要他们还回来,浙江,女,5,254,133,2025-07-16 10:11:59+08:00,1岁工作22岁退休喜提69万退休金,中性,0.2800000011920929
一定要追回我们的钱。,北京,女,205,522,2629,2025-07-16 10:09:06+08:00,1岁工作22岁退休喜提69万退休金,中性,0.33000001311302185
离谱,江苏,女,160,229,10289,2025-07-16 10:12:12+08:00,1岁工作22岁退休喜提69万退休金,中性,0.38999998569488525
能每个地方都查吗？我相信每个不透明的小地方都有！,上海,女,3,167,387,2025-07-16 10:09:50+08:00,1岁工作22岁退休喜提69万退休金,积极,1.0
哦#山西蒲县疾控一职工1岁工作22岁退休#,湖北,女,291,2658,11890,2025-07-16 10:08:26+08:00,1岁工作22岁退休喜提69万退休金,积极,0.7699999809265137
哎呀我去，天方夜谭这不就来了,河南,男,617,426,2513,2025-07-16 09:58:47+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7599999904632568
养老金就是这么没了的,海南,女,74,155,383,2025-07-16 09:59:36+08:00,1岁工作22岁退休喜提69万退休金,中性,0.8999999761581421
这个影响xx吗,辽宁,男,38,138,67,2025-07-16 10:12:43+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7200000286102295
…,浙江,男,152,429,3036,2025-07-16 10:12:37+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
转发微博,北京,女,477,1936,5884,2025-07-16 10:11:55+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
太扯了吧,四川,女,332,820,748,2025-07-16 10:11:48+08:00,1岁工作22岁退休喜提69万退休金,中性,0.7400000095367432
转发微博,上海,女,197,99,6121,2025-07-16 10:11:46+08:00,1岁工作22岁退休喜提69万退休金,中性,0.36000001430511475
这套路马斯克熟,辽宁,男,32,311,951,2025-07-16 10:10:35+08:00,1岁工作22岁退休喜提69万退休金,中性,0.3700000047683716
还笑对面200岁的,江苏,男,50,135,39,2025-07-16 10:09:40+08:00,1岁工作22岁退休喜提69万退休金,积极,0.5099999904632568
